1.0,1.0,1.0,1.0,0.714285714286,1.0,0.8,0.75,0.666666666667,0.75,0.6,0.777777777778,0.666666666667,0.8,0.4,0.857142857143,0.857142857143,0.875,1.0,0.75,1.0,0.875,0.8,0.4,0.714285714286,1.0,1.0,1.0,0.7,1.0,0.571428571429,0.916666666667,1.0,0.714285714286,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.571428571429,0.5,0.857142857143,1.0,1.0,0.555555555556,1.0,0.666666666667,0.833333333333,1.0,0.75,0.571428571429,0.875,0.571428571429,1.0,0.5,0.75,1.0,1.0,0.75,0.714285714286,0.777777777778,0.857142857143,1.0,1.0,0.8,0.7,1.0,0.666666666667,0.8,0.8,0.666666666667,1.0,1.0,0.75,0.555555555556,1.0,1.0,0.6,1.0,1.0,0.5,0.833333333333,0.75,1.0,1.0,0.666666666667,0.857142857143,0.9,1.0,0.857142857143,0.75,1.0,0.875,1.0,1.0,1.0,1.0,0.25,0.8,0.666666666667,1.0,0.75,1.0,0.833333333333,0.0,0.5,1.0,1.0,0.6,1.0,0.875,0.7,0.857142857143,0.857142857143,1.0,0.555555555556,0.875,1.0,1.0,0.714285714286,1.0,0.875,1.0,1.0,0.6,1.0,1.0,0.333333333333,0.8,1.0,1.0,0.8,0.0,0.666666666667,1.0,0.875,0.666666666667,1.0,1.0,1.0,1.0,0.909090909091,1.0,1.0,1.0,1.0,0.875,0.857142857143,0.666666666667,0.4,0.0,0.8,0.4,0.8,0.833333333333,1.0,0.5,0.666666666667,1.0,0.444444444444,0.857142857143,1.0,0.833333333333,1.0,1.0,0.777777777778,1.0,0.857142857143,0.833333333333,0.833333333333,0.833333333333,0.666666666667,0.888888888889,0.833333333333,0.8,0.8,0.777777777778,1.0,0.8,0.666666666667,1.0,0.857142857143,0.0,1.0,1.0,0.714285714286,0.666666666667,0.8,1.0,0.666666666667,0.75,0.666666666667,1.0,0.833333333333,0.75,0.714285714286,1.0,0.714285714286
6,7,3,7,7,6,5,3,11,7,7,1,4,7,3,6,6,4,0,7,2,4,7,5,3,5,6,8,4,6,5,9,4,4,4,4,6,0,3,8,3,3,6,7,5,6,3,8,7,4,5,3,6,5,5,4,4,2,4,6,4,3,3,7,7,2,5,7,6,10,4,6,4,5,6,7,10,5,5,5,6,5,5,6,4,7,3,7,5,3,5,7,7,6,6,4,4,5,2,6,4,3,5,3,4,9,8,5,7,4,3,3,6,7,4,1,7,5,2,5,5,3,2,4,9,5,6,4,8,4,8,5,4,5,6,5,4,5,7,3,6,6,2,8,7,6,0,7,7,8,7,6,3,4,4,5,5,3,0,7,6,4,6,7,4,6,2,4,4,8,7,3,7,6,0,8,6,3,3,5,4,5,4,5,2,5,4,0,9,5,6,7,4,4,5,4,4,5,4,5
1,2,0,0,1,1,2,1,1,1,1,1,3,0,0,0,1,2,1,0,0,3,0,2,3,1,1,1,4,1,2,0,0,0,2,2,2,1,1,0,4,0,1,3,1,2,2,2,0,3,1,1,1,2,3,3,1,1,1,1,1,0,1,1,3,0,5,1,1,0,1,1,2,1,1,0,0,4,1,2,2,1,0,0,0,0,6,1,0,1,3,0,3,3,0,0,2,1,1,3,2,0,0,0,0,0,0,0,1,1,8,0,0,0,1,2,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,2,1,0,3,3,2,1,2,1,1,1,4,0,0,0,0,0,0,0,0,2,3,1,1,1,2,1,1,0,0,2,3,0,1,2,1,2,1,2,1,0,1,3,7,1,1,4,1,0,0,0,0,0,1,2,1,3,1,2,4,0,2,1,7,1
7,9,3,7,8,7,7,4,12,8,8,2,7,7,3,6,7,6,1,7,2,7,7,7,6,6,7,9,8,7,7,9,4,4,6,6,8,1,4,8,7,3,7,10,6,8,5,10,7,7,6,4,7,7,8,7,5,3,5,7,5,3,4,8,10,2,10,8,7,10,5,7,6,6,7,7,10,9,6,7,8,6,5,6,4,7,9,8,5,4,8,7,10,9,6,4,6,6,3,9,6,3,5,3,4,9,8,5,8,5,11,3,6,7,5,3,7,5,3,6,5,4,3,5,10,5,6,5,8,5,9,6,4,5,6,7,5,5,10,6,8,7,4,9,8,7,4,7,7,8,7,6,3,4,4,7,8,4,1,8,8,5,7,7,4,8,5,4,5,10,8,5,8,8,1,8,7,6,10,6,5,9,5,5,2,5,4,0,10,7,7,10,5,6,9,4,6,6,11,6
0.857142857143,0.777777777778,1.0,1.0,0.875,0.857142857143,0.714285714286,0.75,0.916666666667,0.875,0.875,0.5,0.571428571429,1.0,1.0,1.0,0.857142857143,0.666666666667,0.0,1.0,1.0,0.571428571429,1.0,0.714285714286,0.5,0.833333333333,0.857142857143,0.888888888889,0.5,0.857142857143,0.714285714286,1.0,1.0,1.0,0.666666666667,0.666666666667,0.75,0.0,0.75,1.0,0.428571428571,1.0,0.857142857143,0.7,0.833333333333,0.75,0.6,0.8,1.0,0.571428571429,0.833333333333,0.75,0.857142857143,0.714285714286,0.625,0.571428571429,0.8,0.666666666667,0.8,0.857142857143,0.8,1.0,0.75,0.875,0.7,1.0,0.5,0.875,0.857142857143,1.0,0.8,0.857142857143,0.666666666667,0.833333333333,0.857142857143,1.0,1.0,0.555555555556,0.833333333333,0.714285714286,0.75,0.833333333333,1.0,1.0,1.0,1.0,0.333333333333,0.875,1.0,0.75,0.625,1.0,0.7,0.666666666667,1.0,1.0,0.666666666667,0.833333333333,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.8,0.272727272727,1.0,1.0,1.0,0.8,0.333333333333,1.0,1.0,0.666666666667,0.833333333333,1.0,0.75,0.666666666667,0.8,0.9,1.0,1.0,0.8,1.0,0.8,0.888888888889,0.833333333333,1.0,1.0,1.0,0.714285714286,0.8,1.0,0.7,0.5,0.75,0.857142857143,0.5,0.888888888889,0.875,0.857142857143,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.714285714286,0.625,0.75,0.0,0.875,0.75,0.8,0.857142857143,1.0,1.0,0.75,0.4,1.0,0.8,0.8,0.875,0.6,0.875,0.75,0.0,1.0,0.857142857143,0.5,0.3,0.833333333333,0.8,0.555555555556,0.8,1.0,1.0,1.0,1.0,0,0.9,0.714285714286,0.857142857143,0.7,0.8,0.666666666667,0.555555555556,1.0,0.666666666667,0.833333333333,0.363636363636,0.833333333333
8,5,4,4,7,5,10,7,4,3,2,5,5,6,6,7,0,5,6,8,6,6,4,11,4,6,7,8,4,6,6,0,7,5,4,6,4,5,7,7,3,5,6,8,7,6,9,2,6,6,4,6,6,1,6,4,5,5,5,6,6,5,3,4,5,7,5,9,6,8,4,7,0,7,7,2,6,7,4,6,7,5,6,7,3,5,3,7,5,7,7,5,5,6,8,6,4,4,4,4,5,7,5,5,5,5,4,5,7,6,4,7,4,7,5,2,3,8,4,8,5,6,5,4,5,7,7,7,5,6,4,6,4,3,2,6,3,1,6,3,3,3,8,8,5,4,4,5,6,5,4,7,4,3,4,0,4,6,8,7,4,5,3,5,8,5,3,6,9,4,6,6,4,8,7,4,6,7,5,8,4,7,3,5,7,6,8,6,7,5,4,7,3,2,0,5,5,9,4,5
0,0,2,1,0,4,0,0,1,1,1,2,2,2,3,1,1,2,0,2,1,1,2,0,0,0,2,2,0,0,0,1,0,4,0,1,1,1,0,1,0,2,0,0,1,1,0,1,0,0,1,2,1,1,0,0,3,1,3,2,1,0,4,1,1,1,2,1,1,1,1,1,1,0,1,1,4,2,1,1,0,0,0,1,1,0,4,0,3,0,0,1,1,5,2,1,0,6,0,0,3,3,2,1,2,2,1,3,1,2,0,0,4,0,0,2,0,1,1,1,2,2,0,0,1,0,0,0,1,1,0,0,1,0,1,1,2,2,1,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,3,1,1,1,0,0,1,1,1,0,0,1,0,3,1,3,1,2,1,0,2,1,0,0,1,2,5,1,1,0,0,1,0,1,0,2,0,1,0,2,1,1,3,0,4,4
8,5,6,5,7,9,10,7,5,4,3,7,7,8,9,8,1,7,6,10,7,7,6,11,4,6,9,10,4,6,6,1,7,9,4,7,5,6,7,8,3,7,6,8,8,7,9,3,6,6,5,8,7,2,6,4,8,6,8,8,7,5,7,5,6,8,7,10,7,9,5,8,1,7,8,3,10,9,5,7,7,5,6,8,4,5,7,7,8,7,7,6,6,11,10,7,4,10,4,4,8,10,7,6,7,7,5,8,8,8,4,7,8,7,5,4,3,9,5,9,7,8,5,4,6,7,7,7,6,7,4,6,5,3,3,7,5,3,7,3,3,3,8,8,5,4,4,6,6,8,4,8,5,4,7,1,5,7,8,7,5,6,4,5,8,6,3,9,10,7,7,8,5,8,9,5,6,7,6,10,9,8,4,5,7,7,8,7,7,7,4,8,3,4,1,6,8,9,8,9
1.0,1.0,0.666666666667,0.8,1.0,0.555555555556,1.0,1.0,0.8,0.75,0.666666666667,0.714285714286,0.714285714286,0.75,0.666666666667,0.875,0.0,0.714285714286,1.0,0.8,0.857142857143,0.857142857143,0.666666666667,1.0,1.0,1.0,0.777777777778,0.8,1.0,1.0,1.0,0.0,1.0,0.555555555556,1.0,0.857142857143,0.8,0.833333333333,1.0,0.875,1.0,0.714285714286,1.0,1.0,0.875,0.857142857143,1.0,0.666666666667,1.0,1.0,0.8,0.75,0.857142857143,0.5,1.0,1.0,0.625,0.833333333333,0.625,0.75,0.857142857143,1.0,0.428571428571,0.8,0.833333333333,0.875,0.714285714286,0.9,0.857142857143,0.888888888889,0.8,0.875,0.0,1.0,0.875,0.666666666667,0.6,0.777777777778,0.8,0.857142857143,1.0,1.0,1.0,0.875,0.75,1.0,0.428571428571,1.0,0.625,1.0,1.0,0.833333333333,0.833333333333,0.545454545455,0.8,0.857142857143,1.0,0.4,1.0,1.0,0.625,0.7,0.714285714286,0.833333333333,0.714285714286,0.714285714286,0.8,0.625,0.875,0.75,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.888888888889,0.8,0.888888888889,0.714285714286,0.75,1.0,1.0,0.833333333333,1.0,1.0,1.0,0.833333333333,0.857142857143,1.0,1.0,0.8,1.0,0.666666666667,0.857142857143,0.6,0.333333333333,0.857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.833333333333,1.0,0.625,1.0,0.875,0.8,0.75,0.571428571429,0.0,0.8,0.857142857143,1.0,1.0,0.8,0.833333333333,0.75,1.0,1.0,0.833333333333,1.0,0.666666666667,0.9,0.571428571429,0.857142857143,0.75,0.8,1.0,0.777777777778,0.8,1.0,1.0,0.833333333333,0.8,0.444444444444,0.875,0.75,1.0,1.0,0.857142857143,1.0,0.857142857143,1.0,0.714285714286,1.0,0.875,1.0,0.5,0.0,0.833333333333,0.625,1.0,0.5,0.555555555556
3,8,2,8,6,1,5,4,5,4,4,7,7,4,4,5,2,7,5,4,6,7,5,6,4,8,7,6,4,6,4,7,2,5,4,10,4,5,5,6,7,5,5,6,5,8,7,6,3,3,8,6,5,4,4,5,5,3,4,6,3,5,4,2,6,3,2,6,6,6,4,3,4,4,5,5,4,4,4,7,7,4,3,6,4,6,6,7,6,5,7,0,2,6,5,5,5,5,3,6,5,2,5,4,5,4,5,2,3,7,7,5,6,6,5,6,7,7,4,5,4,8,5,7,5,6,5,6,7,0,4,5,8,7,5,7,2,4,7,3,4,5,7,0,7,7,5,5,7,8,4,5,5,6,5,6,6,6,5,5,7,6,5,7,9,4,8,8,2,4,6,6,6,6,4,6,7,3,5,6,8,7,4,0,7,6,4,3,9,7,7,2,6,5,5,6,5,0,8,5
2,1,1,2,1,1,4,0,0,1,0,0,0,1,1,2,1,1,0,1,0,0,0,1,0,1,1,0,1,1,4,0,2,1,3,0,0,2,1,0,0,1,4,2,0,0,1,1,1,8,0,0,0,1,1,0,2,0,2,1,0,3,1,2,1,0,1,1,2,3,4,2,0,3,0,2,3,0,0,0,1,1,0,0,0,1,0,0,0,1,4,1,1,2,0,1,5,2,0,3,3,1,2,0,0,2,1,0,0,2,1,0,1,1,0,3,1,0,0,1,1,0,2,3,1,2,3,1,2,1,1,2,0,0,1,1,2,1,1,0,1,3,1,1,1,0,1,1,2,0,5,2,0,0,1,1,3,1,0,1,0,1,0,1,0,0,1,0,1,1,0,3,4,0,2,0,1,4,1,1,2,3,0,1,0,0,1,0,0,0,1,0,1,3,4,1,0,1,0,2
5,9,3,10,7,2,9,4,5,5,4,7,7,5,5,7,3,8,5,5,6,7,5,7,4,9,8,6,5,7,8,7,4,6,7,10,4,7,6,6,7,6,9,8,5,8,8,7,4,11,8,6,5,5,5,5,7,3,6,7,3,8,5,4,7,3,3,7,8,9,8,5,4,7,5,7,7,4,4,7,8,5,3,6,4,7,6,7,6,6,11,1,3,8,5,6,10,7,3,9,8,3,7,4,5,6,6,2,3,9,8,5,7,7,5,9,8,7,4,6,5,8,7,10,6,8,8,7,9,1,5,7,8,7,6,8,4,5,8,3,5,8,8,1,8,7,6,6,9,8,9,7,5,6,6,7,9,7,5,6,7,7,5,8,9,4,9,8,3,5,6,9,10,6,6,6,8,7,6,7,10,10,4,1,7,6,5,3,9,7,8,2,7,8,9,7,5,1,8,7
0.6,0.888888888889,0.666666666667,0.8,0.857142857143,0.5,0.555555555556,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.8,0.714285714286,0.666666666667,0.875,1.0,0.8,1.0,1.0,1.0,0.857142857143,1.0,0.888888888889,0.875,1.0,0.8,0.857142857143,0.5,1.0,0.5,0.833333333333,0.571428571429,1.0,1.0,0.714285714286,0.833333333333,1.0,1.0,0.833333333333,0.555555555556,0.75,1.0,1.0,0.875,0.857142857143,0.75,0.272727272727,1.0,1.0,1.0,0.8,0.8,1.0,0.714285714286,1.0,0.666666666667,0.857142857143,1.0,0.625,0.8,0.5,0.857142857143,1.0,0.666666666667,0.857142857143,0.75,0.666666666667,0.5,0.6,1.0,0.571428571429,1.0,0.714285714286,0.571428571429,1.0,1.0,1.0,0.875,0.8,1.0,1.0,1.0,0.857142857143,1.0,1.0,1.0,0.833333333333,0.636363636364,0.0,0.666666666667,0.75,1.0,0.833333333333,0.5,0.714285714286,1.0,0.666666666667,0.625,0.666666666667,0.714285714286,1.0,1.0,0.666666666667,0.833333333333,1.0,1.0,0.777777777778,0.875,1.0,0.857142857143,0.857142857143,1.0,0.666666666667,0.875,1.0,1.0,0.833333333333,0.8,1.0,0.714285714286,0.7,0.833333333333,0.75,0.625,0.857142857143,0.777777777778,0.0,0.8,0.714285714286,1.0,1.0,0.833333333333,0.875,0.5,0.8,0.875,1.0,0.8,0.625,0.875,0.0,0.875,1.0,0.833333333333,0.833333333333,0.777777777778,1.0,0.444444444444,0.714285714286,1.0,1.0,0.833333333333,0.857142857143,0.666666666667,0.857142857143,1.0,0.833333333333,1.0,0.857142857143,1.0,0.875,1.0,1.0,0.888888888889,1.0,0.666666666667,0.8,1.0,0.666666666667,0.6,1.0,0.666666666667,1.0,0.875,0.428571428571,0.833333333333,0.857142857143,0.8,0.7,1.0,0.0,1.0,1.0,0.8,1.0,1.0,1.0,0.875,1.0,0.857142857143,0.625,0.555555555556,0.857142857143,1.0,0.0,1.0,0.714285714286
